,name,rating,reviews,salary,interviews,jobs
425,Cisco,4.1,2.2k,18.9k,414,212
426,SBI General Insurance,3.6,2.2k,6.6k,134,34
427,Lava International,3.9,2.2k,4.3k,87,4
428,Renault Nissan Technology & Business Centre India,3.7,2.2k,14.9k,157,22
429,Whirlpool,4.0,2.2k,7.8k,119,7
430,Coromandel International,4.1,2.2k,7.7k,127,25
431,Allstate,3.7,2.2k,12.3k,156,16
432,ValueLabs,3.5,2.2k,16.2k,217,69
433,GlaxoSmithKline Pharmaceuticals,4.0,2.2k,5.8k,127,31
434,Indian Railways,4.1,2.2k,3.5k,115,--
435,Sify Technologies,3.6,2.2k,10k,148,52
436,Ambuja Cements,3.8,2.2k,6.1k,164,--
437,Shahi Exports,3.9,2.2k,6.9k,126,62
438,Meesho,3.7,2.2k,9.6k,431,53
439,Nokia Networks,4.1,2.2k,10.4k,127,--
440,Bank of Baroda,3.5,2.1k,7k,120,--
441,Mercedes-Benz Research and Development India,3.6,2.1k,18.1k,209,125
442,Microsoft Corporation,3.8,2.1k,30.7k,625,--
443,Brakes India,3.9,2.1k,7.2k,109,37
444,Generali Central Life Insurance,3.5,2.1k,6.7k,121,25
445,Life Insurance Corporation of India,4.4,2.1k,4.5k,105,5
446,JK Tyre,3.8,2.1k,6.9k,166,6
447,Spark Minda,3.8,2.1k,7.3k,161,12
448,Poonawalla Fincorp,3.5,2.1k,5.9k,86,16
449,upGrad,3.4,2.1k,9.3k,217,46
450,Cargill,3.9,2.1k,8.6k,113,167
451,Saint-Gobain,3.8,2.1k,11.9k,210,143
452,CAMS,3.6,2.1k,8.9k,150,22
453,Jio Platforms,3.4,2.1k,14.6k,268,--
454,Manipal Hospitals,4.1,2.1k,7.1k,139,97
455,FirstCry,3.5,2.1k,8.8k,215,14
456,BHEL,4.2,2.1k,5.4k,137,53
457,Power Mech Projects,3.8,2.1k,6.7k,124,27
458,Kotak Securities,3.5,2.1k,9.5k,146,34
459,Pfizer,3.9,2.1k,5.9k,88,50
460,Nuvoco Vistas,4.1,2.1k,7.1k,133,23
461,NTT DATA Business Solutions,4.1,2.1k,12.9k,275,36
462,Huawei Technologies,4.1,2.1k,7.9k,121,34
463,Henry Harvin Education,3.8,2.1k,936,106,56
464,Force Motors,3.7,2.1k,8.3k,145,26
465,Simplex Infrastructures,3.4,2.1k,4.4k,83,--
466,"Maruti Suzuki India Limited, Hansalpur",4.2,2.1k,6.8k,231,--
467,Infinite Computer Solutions,3.3,2.1k,15.5k,174,62
468,CitiusTech,3.1,2.1k,14.6k,318,11
469,Reliance Trends,4.1,2.1k,4.1k,125,--
470,Raymond Lifestyle Limited,4.2,2.1k,6.3k,116,19
